root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers_64;sharedBuffers_128;sharedBuffers_256;sharedBuffers;tempBuffers_2;tempBuffers_8;tempBuffers_32;tempBuffers;workMem_256;workMem_1024;workMem_4096;workMem;revision;performance;cpu
1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;56444.2;2.855389
1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;55502;2.868014
1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;56389.2;2.786944
1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;56482.2;2.850105
1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;55667.2;2.821743
1;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;56653.4;2.821099
1;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;56446;2.846305
1;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;56042;2.872989
1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;56230.8;2.854221
1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56858.6;2.920166
1;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;55448;2.871135
1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;55850.2;2.897379
1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;56227.2;2.866433
1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;56197.8;3.204527
1;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;55648.8;2.86343
1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;55723.2;2.904505
1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;56360.4;2.831818
1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;57070.2;3.196713
