root;compression;compressionBzip2;compressionGzip;compressionLzo;compressionLzma;disableCompressibilityTesting;level_1;level_2;level_3;level_4;level_5;level_6;level_7;level_8;level_9;level;maxWindowSize_1;maxWindowSize_2;maxWindowSize_4;maxWindowSize_8;maxWindowSize;processorCount_1;processorCount_2;processorCount_4;processorCount_8;processorCount;revision;performance;size;cpu
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;530;17658.6;652019588;5.821242
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;530;18708.6;652018395;6.370526
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;530;18173.8;652018272;6.601228
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;530;18525.4;652017957;6.639591
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;530;17699.2;652021336;6.497222
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;530;17423.6;652021336;6.118105
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;530;16886.8;652021186;6.769886
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;530;16663.2;652020857;5.630368
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;530;17351;652020471;6.019738
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;530;18978;652019982;6.418947
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;530;24074.6;652018212;5.761667
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;530;24130;652017999;5.680833
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;530;24028.6;652017543;5.74
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;530;17624;652020778;6.490972
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;530;17292;652020778;6.286209
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;530;16563.6;652020679;6.422353
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;530;16195.6;652020425;6.7125
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;530;16577.2;652020029;6.430588
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;530;17846.6;652019600;6.749532
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;530;21241.8;652017892;6.339697
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;530;20989;652017649;6.253333
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;1;530;21495.6;652017213;6.095445
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;530;17607.8;652020431;6.635796
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;530;17946;652020431;6.112645
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;530;16718.4;652020358;6.711225
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;530;16231.8;652020108;6.776177
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;530;16139.4;652019781;7.240588
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;530;17002;652019563;6.883529
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;530;18927;652018093;6.637895
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;530;19128;652017875;6.579684
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;530;18915.8;652017455;6.725263
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;530;17243.8;652020223;6.602475
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;530;17425.6;652020223;6.549519
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;530;16694.4;652020174;6.494224
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;530;15709.6;652020048;7.0575
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;530;16008;652019736;7.3225
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;530;16458.2;652019638;6.942353
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;530;17513.6;652018445;6.732876
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;1;530;17543.4;652018322;6.771307
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;530;17458.2;652018007;7.184575
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;530;17848.8;652021936;6.395225
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;530;17157.8;652021936;6.385408
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;530;16276.4;652021786;7.112639
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;530;16801.6;652021457;6.468235
