,revision,performance,size,cpu
540,v1.3.0,151.2604,213687,3.56838
541,v1.3.0,151.34720000000002,213687,3.537954
542,v1.3.0,151.19920000000002,213687,3.581611
543,v1.3.0,151.34720000000002,213687,3.541762
544,v1.3.0,150.97420000000002,213687,3.476296
545,v1.3.0,151.0652,213687,3.474387
546,v1.3.0,151.116,213687,3.50087
547,v1.3.0,151.3364,213687,3.587088
548,v1.3.0,151.4324,213687,3.558785
549,v1.3.0,150.984,213687,3.630667
550,v1.3.0,151.3174,213687,3.659744
551,v1.3.0,151.1652,213687,3.565564
552,v1.3.0,150.90879999999999,213687,3.554863
553,v1.3.0,151.2604,213687,3.61948
554,v1.3.0,150.9718,213687,3.583943
555,v1.3.0,151.52620000000002,213687,3.591266
556,v1.3.0,151.009,213687,3.5448
557,v1.3.0,150.89520000000002,213687,3.525817
558,v1.3.0,150.899,213687,3.435777
559,v1.3.0,151.40820000000002,213687,3.511869
560,v1.3.0,151.22039999999998,213687,3.447657
561,v1.3.0,150.9254,213687,3.542419
562,v1.3.0,150.891,213687,3.579567
563,v1.3.0,151.1298,213687,3.558533
564,v1.3.0,150.75920000000002,213687,3.553653
565,v1.3.0,151.26160000000002,213687,3.581387
566,v1.3.0,151.04479999999998,213687,3.561997
567,v1.3.0,151.1584,213687,3.575319
568,v1.3.0,151.0606,213687,3.5796
569,v1.3.0,151.2054,213687,3.646614
570,v1.3.0,151.08720000000002,213687,3.549196
571,v1.3.0,151.2576,213687,3.526772
572,v1.3.0,151.5718,213687,3.563201
573,v1.3.0,150.8258,213687,3.479539
574,v1.3.0,151.2844,213687,3.406153
575,v1.3.0,151.3078,213687,3.43096
576,v1.3.0,158.5048,238341,3.570655
577,v1.3.0,158.9658,238341,3.546139
578,v1.3.0,158.9266,238341,3.520633
579,v1.3.0,158.788,238341,3.55937
580,v1.3.0,158.5404,238341,3.5376
581,v1.3.0,158.652,238341,3.52334
582,v1.3.0,159.2218,238341,3.522164
583,v1.3.0,158.71,238341,3.53348
584,v1.3.0,158.747,238341,3.538686
585,v1.3.0,158.786,238341,3.560913
586,v1.3.0,158.769,238341,3.551031
587,v1.3.0,158.5554,238341,3.522644
588,v1.3.0,158.552,238341,3.456789
589,v1.3.0,158.6524,238341,3.436906
590,v1.3.0,159.2454,238341,3.398107
591,v1.3.0,158.44379999999998,238341,3.399315
592,v1.3.0,158.5914,238341,3.499298
593,v1.3.0,158.421,238341,3.549883
594,v1.3.0,158.894,238341,3.556117
595,v1.3.0,158.8928,238341,3.562152
596,v1.3.0,158.487,238341,3.551208
597,v1.3.0,158.7806,238341,3.503785
598,v1.3.0,158.903,238341,3.555274
599,v1.3.0,158.795,238341,3.549238
600,v1.3.0,158.84879999999998,238341,3.618
601,v1.3.0,158.7726,238341,3.599263
602,v1.3.0,158.584,238341,3.555132
603,v1.3.0,158.98,238341,3.524747
604,v1.3.0,158.52179999999998,238341,3.523781
605,v1.3.0,158.6974,238341,3.496481
606,v1.3.0,159.1658,238341,3.40913
607,v1.3.0,158.5832,238341,3.395566
608,v1.3.0,158.60979999999998,238341,3.536202
609,v1.3.0,158.50179999999997,238341,3.554727
610,v1.3.0,158.53560000000002,238341,3.56267
611,v1.3.0,158.7294,238341,3.55973
612,v1.3.0,158.4674,237487,3.55207
613,v1.3.0,158.8956,237487,3.549743
614,v1.3.0,158.6592,237487,3.556037
615,v1.3.0,158.788,237487,3.575295
616,v1.3.0,158.7874,237487,3.543924
