,revision,performance,cpu,benchmark-energy,fixed-energy,benchmark-power,fixed-power
13578,2.3.4,60198.0,9.781614,1884,5373.03382,31.26273,22.57247
13579,2.3.4,60624.0,10.194926,1921,5452.843045,31.492004,22.737416
13580,2.3.4,60071.4,9.88878,1911.2,5496.386454,31.803477,23.018
13581,2.3.4,62952.8,11.342323,2018.4,5585.177695,31.896301,23.259898
13582,2.3.4,61775.6,10.811252,1957.8,5517.511586,31.705293,22.961033
13583,2.3.4,61047.8,10.534694,1928,5421.21505,31.520652,22.757726
13584,2.3.4,59522.8,9.302119,1900.2,5485.872062,31.844059,22.92263
13585,2.3.4,60116.8,9.85844,1898.6,5499.227938,31.665174,22.995571
13586,2.3.4,59658.2,9.527401,1895.8,5490.235545,31.684079,22.793488
13587,2.3.4,60946.2,10.106828,1942.4,5482.650408,31.731992,22.962429
13588,2.3.4,61039.8,10.315423,1941,5561.404813,31.730317,23.171511
13589,2.3.4,59670.2,9.616322,1876.4,5415.739204,31.411286,22.582053
13590,2.3.4,63918.8,12.245189,2027.8,5457.417907,31.703309,22.793955
13591,2.3.4,64458.0,12.548188,2059.4,5510.112159,31.90555,23.165525
13592,2.3.4,63666.6,12.393633,2073,5571.599527,32.50971,23.406405
13593,2.3.4,62690.8,11.626523,1978.8,5452.804532,31.543851,22.926812
13594,2.3.4,62564.0,11.491027,2010.4,5509.343699,32.054361,22.960725
13595,2.3.4,63676.2,12.053218,2080.8,5653.816725,32.691563,23.599101
13596,2.3.4,60189.6,9.721593,1908.8,5461.173188,31.457831,22.824051
13597,2.3.4,60569.8,10.002802,1906.8,5503.499823,31.737078,23.009481
13598,2.3.4,60155.2,9.819358,1924.4,5504.267154,31.928338,23.028298
13599,2.3.4,60518.2,9.932435,1947.8,5537.120852,32.131718,23.193349
13600,2.3.4,60582.0,10.027179,1905.2,5478.363309,31.247885,22.870257
13601,2.3.4,60003.6,9.676542,1898.4,5480.707064,31.50306,22.977947
13602,2.3.4,60439.4,9.843579,1910.6,5457.15363,31.733589,22.942313
13603,2.3.4,60947.0,10.21434,1970.6,5609.333312,32.253791,23.372373
13604,2.3.4,59572.0,9.743689,1870.6,5419.715701,31.455506,22.717377
13605,2.3.4,60063.2,9.631814,1934,5485.274535,31.943196,22.89753
13606,2.3.4,60278.4,9.817845,1894,5477.675862,31.5782,22.865829
13607,2.3.4,59816.2,9.664064,1925,5581.159862,31.86011,23.08674
13608,2.3.4,54349.8,4.863471,1691.6,5312.433397,31.233636,22.345579
13609,2.3.4,54126.0,4.87969,1692.2,5390.15607,31.327213,22.475364
13610,2.3.4,53841.2,4.798155,1678.6,5383.037469,31.236045,22.514728
13611,2.3.4,53884.2,4.868518,1666,5352.084392,30.89,22.213547
13612,2.3.4,54004.8,4.871817,1677.2,5320.375456,31.173333,22.385229
13613,2.3.4,53859.6,4.818267,1715.2,5511.263729,31.854859,23.005228
13614,2.3.4,60648.2,9.712922,1910.2,5532.185542,31.552759,23.066572
13615,2.3.4,58637.8,7.669359,1809.2,5403.155843,30.874664,22.59609
13616,2.3.4,58234.6,7.491162,1842.4,5429.654842,31.367319,22.683021
13617,2.3.4,59189.2,8.918937,1851,5478.005426,31.350666,22.889175
13618,2.3.4,59614.0,9.283791,1878.2,5365.882103,31.435911,22.501597
13619,2.3.4,58083.8,7.547931,1809.8,5426.402198,31.146779,22.567151
13620,2.3.4,57888.2,7.385741,1817.6,5515.071951,31.387933,22.914541
13621,2.3.4,58190.8,7.595286,1826.2,5411.047241,31.188365,22.554184
13622,2.3.4,58052.8,7.303085,1793.4,5475.872252,30.876442,22.751884
13623,2.3.4,59337.6,8.947208,1930.2,5522.411001,32.211649,23.047494
13624,2.3.4,58514.0,7.711316,1811.8,5369.09281,30.955412,22.541491
13625,2.3.4,58589.2,7.706341,1811.6,5401.330778,30.758601,22.544899
13626,2.3.4,59805.8,9.138955,1913.2,5483.16151,31.956581,23.058401
13627,2.3.4,59894.2,9.347098,1900.8,5441.803926,31.591456,22.78472
13628,2.3.4,57786.8,7.397048,1807.8,5458.883202,31.177308,22.852733
13629,2.3.4,58044.2,7.546987,1795.6,5384.845326,30.895385,22.270902
13630,2.3.4,58570.2,7.472161,1791.8,5275.297209,30.352347,22.150455
13631,2.3.4,58627.8,7.053594,1871.4,5572.0549,31.90634,23.453825
13632,2.3.4,55208.6,6.188006,1774.2,5437.586093,31.824643,22.521511
13633,2.3.4,55148.4,6.523519,1790.6,5376.440502,32.421258,22.84224
