root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads_1;threads_2;threads_3;threads_4;threads;tokenParts_0;tokenParts_1;tokenParts_2;tokenParts;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;energy;cpu
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.01714;0.023365;0.07364;0.062113
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.002136;0;0.024266;0.043053
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.019826;0.023608;0.057477;0.034218
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.031389;0.023124;0.055349;0.005562
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.073714;0.02624;0.09283;0.028378
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.000525;0;0.064132;0.022021
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.018318;0.018885;0.046429;0.058782
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.014567;0.018586;0.031661;0.045951
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.014043;0.017144;0.068731;0.042515
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.013524;0;0.055138;0.068039
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.019426;0.023092;0.02554;0.034096
